clientID,home_url,adware_status,extension_stauts,datetime
390,https://www.alphapaw.com/,adware_present,similar_present,2022-06-28 14:52:24
389,https://www.prohealthlongevity.com/,adware_absent,similar_present,2022-06-28 14:54:12
388,https://www.prohealth.com/,adware_present,similar_present,2022-06-28 14:55:36
387,https://www.plushbeds.com/,adware_present,similar_present,2022-06-28 14:57:00
386,https://yummybazaar.com/,adware_present,similar_present,2022-06-28 15:00:43
385,https://www.laurenshope.com/,adware_present,stirfy_present,2022-06-28 15:07:54
384,https://www.lensabl.com/,adware_present,stirfy_present,2022-06-28 15:21:05
382,https://bombas.co.uk/,adware_present,similar_present,2022-06-28 15:24:54
381,https://bombas.com/,adware_present,similar_present,2022-06-28 15:27:38
380,https://www.tulaskincare.ca/,adware_present,deal_amazon_present,2022-06-28 15:40:39
377,https://jolyn.com/,adware_present,similar_present,2022-06-28 15:42:33
376,https://www.camerapro.com.au/,adware_present,deal_amazon_present,2022-06-28 15:54:52
374,https://www.interiorsecrets.com.au/,adware_present,similar_present,2022-06-28 15:56:31
373,https://www.jiffyshirts.com/,adware_present,similar_present,2022-06-28 15:58:49
372,https://www.cbii-cbd.com/,adware_present,deal_amazon_present,2022-06-28 16:14:48
