job level,job function,,,Scrapping jobs
Director,DTC,,,"""CEO"","
Head,Omnichannel,,,"""Founder"","
VP,UI/UX,,," ""CMO"","
Vice President,User experience,,," ""CTO"","
EVP,Marketing,,," ""CIO"","
SVP,Ecommerce,,," ""COO"","
AVP,E-commerce,,," ""Chief"","
Manager,Online,,," ""President"","
,Digital,,,"""Director DTC"","
,Brand,,,"""Director Omnichannel"","
,Design,,,"""Director UI/UX"","
,Product,,,"""Director User experience"","
,Finance,,,"""Director Marketing"","
,Customer,,,"""Director Ecommerce"","
,Growth,,,"""Director E-commerce"","
,Performance,,,"""Director Online"","
,Sales,,,"""Director Digital"","
,Analytics,,,"""Director Brand"","
,Third party,,,"""Director Design"","
,Marketplace,,,"""Director Product"","
,,,,"""Director Finance"","
,,,,"""Director Customer"","
,,,,"""Director Growth"","
,,,,"""Director Performance"","
,,,,"""Director Sales"","
,,,,"""Director Analytics"","
,,,,"""Director Third party"","
,,,,"""Director Marketplace"","
,,,,"""Head DTC"","
,,,,"""Head Omnichannel"","
,,,,"""Head UI/UX"","
,,,,"""Head User experience"","
,,,,"""Head Marketing"","
,,,,"""Head Ecommerce"","
,,,,"""Head E-commerce"","
,,,,"""Head Online"","
,,,,"""Head Digital"","
,,,,"""Head Brand"","
,,,,"""Head Design"","
,,,,"""Head Product"","
,,,,"""Head Finance"","
,,,,"""Head Customer"","
,,,,"""Head Growth"","
,,,,"""Head Performance"","
,,,,"""Head Sales"","
,,,,"""Head Analytics"","
,,,,"""Head Third party"","
,,,,"""Head Marketplace"","
,,,,"""VP DTC"","
,,,,"""VP Omnichannel"","
,,,,"""VP UI/UX"","
,,,,"""VP User experience"","
,,,,"""VP Marketing"","
,,,,"""VP Ecommerce"","
,,,,"""VP E-commerce"","
,,,,"""VP Online"","
,,,,"""VP Digital"","
,,,,"""VP Brand"","
,,,,"""VP Design"","
,,,,"""VP Product"","
,,,,"""VP Finance"","
,,,,"""VP Customer"","
,,,,"""VP Growth"","
,,,,"""VP Performance"","
,,,,"""VP Sales"","
,,,,"""VP Analytics"","
,,,,"""VP Third party"","
,,,,"""VP Marketplace"","
,,,,"""Vice President DTC"","
,,,,"""Vice President Omnichannel"","
,,,,"""Vice President UI/UX"","
,,,,"""Vice President User experience"","
,,,,"""Vice President Marketing"","
,,,,"""Vice President Ecommerce"","
,,,,"""Vice President E-commerce"","
,,,,"""Vice President Online"","
,,,,"""Vice President Digital"","
,,,,"""Vice President Brand"","
,,,,"""Vice President Design"","
,,,,"""Vice President Product"","
,,,,"""Vice President Finance"","
,,,,"""Vice President Customer"","
,,,,"""Vice President Growth"","
,,,,"""Vice President Performance"","
,,,,"""Vice President Sales"","
,,,,"""Vice President Analytics"","
,,,,"""Vice President Third party"","
,,,,"""Vice President Marketplace"","
,,,,"""EVP DTC"","
,,,,"""EVP Omnichannel"","
,,,,"""EVP UI/UX"","
,,,,"""EVP User experience"","
,,,,"""EVP Marketing"","
,,,,"""EVP Ecommerce"","
,,,,"""EVP E-commerce"","
,,,,"""EVP Online"","
,,,,"""EVP Digital"","
,,,,"""EVP Brand"","
,,,,"""EVP Design"","
,,,,"""EVP Product"","
,,,,"""EVP Finance"","
,,,,"""EVP Customer"","
,,,,"""EVP Growth"","
,,,,"""EVP Performance"","
,,,,"""EVP Sales"","
,,,,"""EVP Analytics"","
,,,,"""EVP Third party"","
,,,,"""EVP Marketplace"","
,,,,"""SVP DTC"","
,,,,"""SVP Omnichannel"","
,,,,"""SVP UI/UX"","
,,,,"""SVP User experience"","
,,,,"""SVP Marketing"","
,,,,"""SVP Ecommerce"","
,,,,"""SVP E-commerce"","
,,,,"""SVP Online"","
,,,,"""SVP Digital"","
,,,,"""SVP Brand"","
,,,,"""SVP Design"","
,,,,"""SVP Product"","
,,,,"""SVP Finance"","
,,,,"""SVP Customer"","
,,,,"""SVP Growth"","
,,,,"""SVP Performance"","
,,,,"""SVP Sales"","
,,,,"""SVP Analytics"","
,,,,"""SVP Third party"","
,,,,"""SVP Marketplace"","
,,,,"""AVP DTC"","
,,,,"""AVP Omnichannel"","
,,,,"""AVP UI/UX"","
,,,,"""AVP User experience"","
,,,,"""AVP Marketing"","
,,,,"""AVP Ecommerce"","
,,,,"""AVP E-commerce"","
,,,,"""AVP Online"","
,,,,"""AVP Digital"","
,,,,"""AVP Brand"","
,,,,"""AVP Design"","
,,,,"""AVP Product"","
,,,,"""AVP Finance"","
,,,,"""AVP Customer"","
,,,,"""AVP Growth"","
,,,,"""AVP Performance"","
,,,,"""AVP Sales"","
,,,,"""AVP Analytics"","
,,,,"""AVP Third party"","
,,,,"""AVP Marketplace"","
,,,,"""Manager DTC"","
,,,,"""Manager Omnichannel"","
,,,,"""Manager UI/UX"","
,,,,"""Manager User experience"","
,,,,"""Manager Marketing"","
,,,,"""Manager Ecommerce"","
,,,,"""Manager E-commerce"","
,,,,"""Manager Online"","
,,,,"""Manager Digital"","
,,,,"""Manager Brand"","
,,,,"""Manager Design"","
,,,,"""Manager Product"","
,,,,"""Manager Finance"","
,,,,"""Manager Customer"","
,,,,"""Manager Growth"","
,,,,"""Manager Performance"","
,,,,"""Manager Sales"","
,,,,"""Manager Analytics"","
,,,,"""Manager Third party"","
,,,,"""Manager Marketplace"""
