SrNo,Full_Name,First_Name,Last_Name,Designation,Domain
1,Lisa Lesman,Lisa,Lesman,"Vice President, Global Brand Marketing",coach.com
2,Jennifer MartinezVelazquez,Jennifer,MartinezVelazquez,"Director, North America eCommerce",coach.com
3,Jennifer Velazquez,Jennifer,Velazquez,"Director, North America eCommerce",coach.com
4,Cynthia Bush,Cynthia,Bush,Director of Customer Success,coach.com
5,Caroline Keogh,Caroline,Keogh,Global Marketing Manager,coach.com
6,Dipika Patel,Dipika,Patel,Customer Analytics Manager - ecommerce,coach.com
7,Marcus Lemonis,Marcus,Lemonis,Chairman & CEO,campingworld.com
8,Saurabh Shah,Saurabh,Shah,Chief Digital Officer and CIO,campingworld.com
9,Zachary Barbato,Zachary,Barbato,Ecommerce Director,campingworld.com
10,Armando Zapata,Armando,Zapata,Digital Marketing and Promotions Manager,campingworld.com
11,Jonathan Raffa,Jonathan,Raffa,Digital Marketing Channel Manager - Paid Social,campingworld.com
12,Bryon Milburn,Bryon,Milburn,President and CEO,champssports.com
13,Joseph Stoker,Joseph,Stoker,Vice President Brand Experience,champssports.com
14,Anastasia Balco,Anastasia,Balco,"Sr. Director, Ecommerce and Digital Marketing",champssports.com
15,Katherine Cancino,Katherine,Cancino,Ecommerce Manager,champssports.com
16,Katie McMartin,Katie,McMartin,Brand Marketing Manager,champssports.com
17,Andy Paul,Andy,Paul,Founder and CEO,corsair.com
18,Don Lieberman,Don,Lieberman,CTO,corsair.com
19,Tom Cullen,Tom,Cullen,Chief Information Officer,corsair.com
20,Helen Lee,Helen,Lee,Sr. Director of Revenue and Accounting,corsair.com
21,Matthew Ward,Matthew,Ward,"Director, Digital Marketing",corsair.com
22,Eddy Piedra,Eddy,Piedra,"Senior Marketing Manager, ORIGIN PC and Corsair DIY",corsair.com
23,John Ho,John,Ho,eCommerce Marketplace Sales Manager,corsair.com
24,Heidi Plessis,Heidi,Plessis,Senior Digital Product Manager E-Commerce,corsair.com
25,John Hong,John,Hong,Ecomm Growth Manager,corsair.com
26,Michael Tenny,Michael,Tenny,Chief Executive Officer,cheaperthandirt.com
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
