Website,Location,Sales Revenue,Tech Spend,Social,Employees,Traffic
allbirds.com, United States,$885k+,$10000+,"10,000+",100+,High
asics.com, Japan,$3.3m+,$10000+,"50,000+","1,000+",Very High
argos.co.uk, United Kingdom,$2.5m+,$5000+,"150,000+","10,000+",Very High
stores.expressfactoryoutlet.com, United States,,$10000+,100+,,-
affordablelamps.com, United States,,$1000+,250+,,-
allergyandair.com, United States,,$5000+,"1,000+",,Medium
edgestar.com, United States,,$5000+,,,-
allbirds.co.nz, United States,$352k+,$5000+,"10,000+",100+,-
atasunoptik.com.tr, Turkey,,$2000+,"1,000+",,-
abcchronicle.com,,$135k+,$2000+,,,-
adbnstdb.shop,,,$2000+,,,-
agrspeedlink.com,,,$2000+,,,-
akssion.com,,$453k+,$5000+,,,-
alequi.com, Sweden,$24k+,$500+,"50,000+",,-
allbirds.com.au, United States,$338k+,$5000+,"300,000+",100+,-
allbirds.co.uk,,$346k+,$5000+,"300,000+",100+,-
allbirds.shoes,,$153k+,$2000+,,,-
allbirds.eu, United States,$353k+,$5000+,"10,000+",100+,-
allbirds.co.kr, South Korea,$328k+,$5000+,"2,000+",,-
allinonepaint.com, United States,$208k+,$2000+,,,-
appenzellernaturkosmetik.ch, Switzerland,$69k+,$500+,,,-
asics.com.ar, United States,$209k+,$2000+,100+,,-
asics.com.co, .co,$162k+,$2000+,,,-
awj888.com, United States,,$2000+,,,-
energiafuz.com, United Kingdom,$688k+,$5000+,,,-
marmaradev.eu,,$139k+,$2000+,,,-
marmara-sterling.com,,$120k+,$2000+,,,-
megantcal.shop,,,$500+,,,-
myflipper.co.il, Israel,,$500+,,,-
faucet.com, United States,$733k+,$5000+,,,Medium
winecoolerdirect.com, United States,,$5000+,"1,000+",,Medium
pullsdirect.com, United States,$691k+,$5000+,,,-
6pdh.com,,$539k+,$5000+,,,-
filament.ch, Switzerland,$20k+,$1000+,,,-
us-dev.flockcode.app,,,$5000+,,,-
g2000.com.sg, Singapore,$211k+,$2000+,"5,000+",,-
yotpo.gaprise.jp, Japan,,$5000+,,,-
ghssvhshsyeett.co, .co,$110k+,$1000+,,,-
giolli.co.il, Israel,$20k+,$1000+,,,-
gulfstarproduction.com, United States,$459k+,$5000+,,,-
